canal,suscribers,hours,plays
ESPN HD 2023-05-01 14:00:00,3763,1557.4,"7,830"
ESPN EXTRA HD 2023-05-01 18:00:00,1212,354.95,"1,829"
ESPN HD 2023-05-02 14:00:00,15483,9821.8,"42,178"
ESPN HD 2023-05-02 17:00:00,9291,3616.233333,"18,826"
ESPN HD 2023-05-02 19:00:00,28995,21110.81667,"62,436"
ESPN HD 2023-05-02 21:00:00,53143,48078.93333,"151,842"
ESPN 2 2023-05-02 13:45:00,6073,1411.216667,"11,341"
ESPN 2 2023-05-02 19:00:00,9275,1384.4,"17,056"
ESPN 3 2023-05-02 12:30:00,4859,320.1166667,"8,789"
ESPN 4 2023-05-02 17:00:00,5519,2660.6,"9,706"
ESPN 4 2023-05-02 19:00:00,18145,6958.516667,"41,916"
ESPN HD 2023-05-03 14:00:00,16296,11471.25,"42,401"
ESPN HD 2023-05-03 17:00:00,18089,14559.15,"38,401"
ESPN HD 2023-05-03 19:30:00,71928,62329.81667,"254,366"
ESPN 2 2023-05-03 11:00:00,2061,1353.466667,"4,105"
ESPN 2 2023-05-03 14:00:00,3057,318.6,"5,387"
ESPN 2 2023-05-03 17:00:00,6675,1930.95,"13,207"
ESPN 2 2023-05-03 19:00:00,9093,305.3666667,"14,962"
ESPN 2 2023-05-03 21:00:00,5803,764.1833333,"8,252"
ESPN 3 2023-05-03 14:00:00,4494,1603.95,"9,715"
ESPN 4 2023-05-03 19:00:00,15691,4491.783333,"36,142"
ESPN HD 2023-05-04 14:00:00,9585,3104.816667,"23,093"
ESPN HD 2023-05-04 17:00:00,23426,12035.63333,"62,223"
ESPN HD 2023-05-04 19:00:00,24299,3031.416667,"53,426"
ESPN HD 2023-05-04 21:00:00,27554,2387.666667,"58,478"
ESPN 2 2023-05-04 17:00:00,12604,7561.266667,"32,399"
ESPN 2 2023-05-04 19:00:00,17344,6166.7,"36,082"
ESPN 3 2023-05-04 17:00:00,3875,615.2166667,"8,294"
ESPN 3 2023-05-04 19:00:00,10372,1493.2,"21,684"
ESPN 4 2023-05-04 12:30:00,1077,71.76666667,"1,584"
ESPN 4 2023-05-04 19:00:00,7235,511.2666667,"13,298"
ESPN HD 2023-05-06 09:00:00,8948,6701.516667,"20,636"
ESPN HD 2023-05-06 11:30:00,8496,5385.3,"17,736"
ESPN 2 2023-05-06 09:00:00,2726,839.4166667,"4,906"
ESPN 3 2023-05-06 11:00:00,3142,1697.866667,"5,945"
ESPN HD 2023-05-07 05:30:00,1922,802.7166667,"3,203"
ESPN HD 2023-05-07 07:30:00,4139,676.75,"6,870"
ESPN HD 2023-05-07 10:30:00,8766,2665,"16,708"
ESPN HD 2023-05-07 15:30:00,24825,21604.55,"59,118"
ESPN 2 2023-05-07 11:00:00,5625,2739.383333,"9,791"
