canal,fecha
GOLPERÚ HD,2023-02-20 15:30:00
ESPN HD,2023-02-21 15:00:00
ESPN HD,2023-02-21 17:00:00
ESPN HD,2023-02-21 19:00:00
ESPN 2,2023-02-21 15:00:00
ESPN 2,2023-02-21 19:30:00
ESPN HD,2023-02-22 15:00:00
ESPN 2,2023-02-22 15:00:00
ESPN HD,2023-02-22 17:00:00
ESPN 2,2023-02-22 19:00:00
ESPN HD,2023-02-22 19:30:00
ESPN HD,2023-02-23 12:45:00
ESPN 2,2023-02-23 12:45:00
ESPN HD,2023-02-23 15:00:00
ESPN 2,2023-02-23 15:00:00
ESPN 2,2023-02-23 17:00:00
ESPN HD,2023-02-23 19:00:00
ESPN 2,2023-02-23 19:00:00
ESPN HD,2023-02-25 10:00:00
ESPN HD,2023-02-25 12:30:00
ESPN HD,2023-02-25 19:30:00
ESPN 2,2023-02-25 09:30:00
ESPN 2,2023-02-25 12:00:00
ESPN HD,2023-02-26 06:30:00
ESPN HD,2023-02-26 08:30:00
ESPN HD,2023-02-26 12:30:00
ESPN HD,2023-02-26 14:45:00
ESPN HD,2023-02-26 17:15:00
ESPN 2,2023-02-26 11:30:00
