canalx,canal,date,,hora_ini,hora_fin,fecha_init,fecha_fin
,AMERICA TELEVISION HD,2022-10-31,  ,05:00:00,09:00:00,2022-10-31  05:00:00,2022-10-31  09:00:00
,LATINA HD,2022-10-31,  ,20:30:00,23:00:00,2022-10-31  20:30:00,2022-10-31  23:00:00
,LATINA HD,2022-11-01,  ,20:30:00,23:00:00,2022-11-01  20:30:00,2022-11-01  23:00:00
,LATINA HD,2022-11-02,  ,20:30:00,23:00:00,2022-11-02  20:30:00,2022-11-02  23:00:00
,LATINA HD,2022-11-03,  ,20:30:00,23:00:00,2022-11-03  20:30:00,2022-11-03  23:00:00
,LATINA HD,2022-11-04,  ,20:30:00,23:00:00,2022-11-04  20:30:00,2022-11-04  23:00:00
,AMERICA TELEVISION HD,2022-10-31,  ,20:40:00,21:30:00,2022-10-31  20:40:00,2022-10-31  21:30:00
,AMERICA TELEVISION HD,2022-11-01,  ,20:40:00,21:30:00,2022-11-01  20:40:00,2022-11-01  21:30:00
,AMERICA TELEVISION HD,2022-11-02,  ,20:40:00,21:30:00,2022-11-02  20:40:00,2022-11-02  21:30:00
,AMERICA TELEVISION HD,2022-11-03,  ,20:40:00,21:30:00,2022-11-03  20:40:00,2022-11-03  21:30:00
,AMERICA TELEVISION HD,2022-11-04,  ,20:40:00,21:30:00,2022-11-04  20:40:00,2022-11-04  21:30:00
,ATV HD,2022-10-31,  ,21:45:00,23:00:00,2022-10-31  21:45:00,2022-10-31  23:00:00
,ATV HD,2022-11-01,  ,21:45:00,23:00:00,2022-11-01  21:45:00,2022-11-01  23:00:00
,ATV HD,2022-11-02,  ,21:45:00,23:00:00,2022-11-02  21:45:00,2022-11-02  23:00:00
,ATV HD,2022-11-03,  ,21:45:00,23:00:00,2022-11-03  21:45:00,2022-11-03  23:00:00
,ATV HD,2022-11-04,  ,21:45:00,23:00:00,2022-11-04  21:45:00,2022-11-04  23:00:00
,ESPN HD,2022-11-01,  ,15:00:00,17:00:00,2022-11-01  15:00:00,2022-11-01  17:00:00
,ESPN 4,2022-11-01,  ,15:00:00,17:00:00,2022-11-01  15:00:00,2022-11-01  17:00:00
,ESPN HD,2022-11-02,  ,12:45:00,14:45:00,2022-11-02  12:45:00,2022-11-02  14:45:00
,ESPN HD,2022-11-02,  ,15:00:00,17:00:00,2022-11-02  15:00:00,2022-11-02  17:00:00
,ESPN 4,2022-11-02,  ,15:00:00,17:00:00,2022-11-02  15:00:00,2022-11-02  17:00:00
,GOLPERU HD,2022-11-02,  ,15:00:00,17:00:00,2022-11-02  15:00:00,2022-11-02  17:00:00
,ESPN 2,2022-11-03,  ,12:45:00,14:45:00,2022-11-03  12:45:00,2022-11-03  14:45:00
,ESPN HD,2022-11-03,  ,15:00:00,17:00:00,2022-11-03  15:00:00,2022-11-03  17:00:00
,ESPN HD,2022-11-05,  ,10:00:00,12:00:00,2022-11-05  10:00:00,2022-11-05  12:00:00
,ESPN HD,2022-11-05,  ,15:00:00,17:00:00,2022-11-05  15:00:00,2022-11-05  17:00:00
,WARNER CHANNEL HD,2022-11-05,  ,11:30:00,22:00:00,2022-11-05  11:30:00,2022-11-05  22:00:00
,CINEMAX HD,2022-11-05,  ,18:30:00,23:30:00,2022-11-05  18:30:00,2022-11-05  23:30:00
,ATV HD,2022-11-05,  ,22:30:00,23:59:00,2022-11-05  22:30:00,2022-11-05  23:59:00
,AMERICA TELEVISION HD,2022-11-05,  ,23:00:00,23:59:59,2022-11-05  23:00:00,2022-11-05  23:59:59
,AMERICA TELEVISION HD,2022-11-05,  ,19:00:00,21:00:00,2022-11-05  19:00:00,2022-11-05  21:00:00
,ATV HD,2022-11-05,  ,20:30:00,23:00:00,2022-11-05  20:30:00,2022-11-05  23:00:00
,AMERICA TELEVISION HD,2022-11-05,  ,21:00:00,23:30:00,2022-11-05  21:00:00,2022-11-05  23:30:00
,GOLPERU,2022-11-06,  ,15:00:00,17:00:00,2022-11-06  15:00:00,2022-11-06  17:00:00
,ESPN HD,2022-11-06,  ,07:00:00,09:00:00,2022-11-06  07:00:00,2022-11-06  09:00:00
,ESPN HD,2022-11-06,  ,11:30:00,13:30:00,2022-11-06  11:30:00,2022-11-06  13:30:00
,ESPN 2,2022-11-06,  ,14:45:00,16:45:00,2022-11-06  14:45:00,2022-11-06  16:45:00
,ESPN HD,2022-11-06,  ,15:00:00,17:00:00,2022-11-06  15:00:00,2022-11-06  17:00:00
,TNT HD,2022-11-06,  ,20:00:00,22:50:00,2022-11-06  20:00:00,2022-11-06  22:50:00
,PARAMOUNT HD,2022-11-06,  ,19:45:00,22:30:00,2022-11-06  19:45:00,2022-11-06  22:30:00
,STAR CHANNEL HD,2022-11-06,  ,19:00:00,21:00:00,2022-11-06  19:00:00,2022-11-06  21:00:00
,WARNER CHANNEL HD,2022-11-06,  ,09:00:00,23:59:00,2022-11-06  09:00:00,2022-11-06  23:59:00
,AMERICA TELEVISION HD,2022-11-06,  ,20:00:00,22:00:00,2022-11-06  20:00:00,2022-11-06  22:00:00
