canalx,canal,date,,hora_ini,hora_fin,fecha_init,fecha_fin
Latina 90 Mediodía 12:00  a 15:00,LATINA HD,2022-01-28, ,12:00:00,15:00:00,2022-01-28 12:00:00,2022-01-28 15:00:00
,LATINA HD,2022-01-29, ,12:00:00,15:00:00,2022-01-29 12:00:00,2022-01-29 15:00:00
,LATINA HD,2022-01-30, ,12:00:00,15:00:00,2022-01-30 12:00:00,2022-01-30 15:00:00
,LATINA HD,2022-01-31, ,12:00:00,15:00:00,2022-01-31 12:00:00,2022-01-31 15:00:00
,LATINA HD,2022-02-01, ,12:00:00,15:00:00,2022-02-01 12:00:00,2022-02-01 15:00:00
,LATINA HD,2022-02-02, ,12:00:00,15:00:00,2022-02-02 12:00:00,2022-02-02 15:00:00
,LATINA HD,2022-02-03, ,12:00:00,15:00:00,2022-02-03 12:00:00,2022-02-03 15:00:00
12:00  a 15:00,AMERICA TELEVISION HD,2022-01-28, ,12:00:00,15:00:00,2022-01-28 12:00:00,2022-01-28 15:00:00
,AMERICA TELEVISION HD,2022-01-29, ,12:00:00,15:00:00,2022-01-29 12:00:00,2022-01-29 15:00:00
,AMERICA TELEVISION HD,2022-01-30, ,12:00:00,15:00:00,2022-01-30 12:00:00,2022-01-30 15:00:00
,AMERICA TELEVISION HD,2022-01-31, ,12:00:00,15:00:00,2022-01-31 12:00:00,2022-01-31 15:00:00
,AMERICA TELEVISION HD,2022-02-01, ,12:00:00,15:00:00,2022-02-01 12:00:00,2022-02-01 15:00:00
,AMERICA TELEVISION HD,2022-02-02, ,12:00:00,15:00:00,2022-02-02 12:00:00,2022-02-02 15:00:00
,AMERICA TELEVISION HD,2022-02-03, ,12:00:00,15:00:00,2022-02-03 12:00:00,2022-02-03 15:00:00
 12:00  a 14:00,CANAL N HD,2022-01-28, ,12:00:00,14:00:00,2022-01-28 12:00:00,2022-01-28 14:00:00
,CANAL N HD,2022-01-29, ,12:00:00,14:00:00,2022-01-29 12:00:00,2022-01-29 14:00:00
,CANAL N HD,2022-01-30, ,12:00:00,14:00:00,2022-01-30 12:00:00,2022-01-30 14:00:00
,CANAL N HD,2022-01-31, ,12:00:00,14:00:00,2022-01-31 12:00:00,2022-01-31 14:00:00
,CANAL N HD,2022-02-01, ,12:00:00,14:00:00,2022-02-01 12:00:00,2022-02-01 14:00:00
,CANAL N HD,2022-02-02, ,12:00:00,14:00:00,2022-02-02 12:00:00,2022-02-02 14:00:00
,CANAL N HD,2022-02-03, ,12:00:00,14:00:00,2022-02-03 12:00:00,2022-02-03 14:00:00
 12:30 a 15:00,PANAMERICANA TELEVISION HD,2022-01-28, ,12:30:00,15:00:00,2022-01-28 12:30:00,2022-01-28 15:00:00
,PANAMERICANA TELEVISION HD,2022-01-29, ,12:30:00,15:00:00,2022-01-29 12:30:00,2022-01-29 15:00:00
,PANAMERICANA TELEVISION HD,2022-01-30, ,12:30:00,15:00:00,2022-01-30 12:30:00,2022-01-30 15:00:00
,PANAMERICANA TELEVISION HD,2022-01-31, ,12:30:00,15:00:00,2022-01-31 12:30:00,2022-01-31 15:00:00
,PANAMERICANA TELEVISION HD,2022-02-01, ,12:30:00,15:00:00,2022-02-01 12:30:00,2022-02-01 15:00:00
,PANAMERICANA TELEVISION HD,2022-02-02, ,12:30:00,15:00:00,2022-02-02 12:30:00,2022-02-02 15:00:00
,PANAMERICANA TELEVISION HD,2022-02-03, ,12:30:00,15:00:00,2022-02-03 12:30:00,2022-02-03 15:00:00
13:00 a 15:00,RPP HD,2022-01-28, ,13:00:00,15:00:00,2022-01-28 13:00:00,2022-01-28 15:00:00
,RPP HD,2022-01-29, ,13:00:00,15:00:00,2022-01-29 13:00:00,2022-01-29 15:00:00
,RPP HD,2022-01-30, ,13:00:00,15:00:00,2022-01-30 13:00:00,2022-01-30 15:00:00
,RPP HD,2022-01-31, ,13:00:00,15:00:00,2022-01-31 13:00:00,2022-01-31 15:00:00
,RPP HD,2022-02-01, ,13:00:00,15:00:00,2022-02-01 13:00:00,2022-02-01 15:00:00
,RPP HD,2022-02-02, ,13:00:00,15:00:00,2022-02-02 13:00:00,2022-02-02 15:00:00
,RPP HD,2022-02-03, ,13:00:00,15:00:00,2022-02-03 13:00:00,2022-02-03 15:00:00
13:00 a 15:00,CANAL N HD,2022-01-28, ,13:00:00,15:00:00,2022-01-28 13:00:00,2022-01-28 15:00:00
,CANAL N HD,2022-01-29, ,13:00:00,15:00:00,2022-01-29 13:00:00,2022-01-29 15:00:00
,CANAL N HD,2022-01-30, ,13:00:00,15:00:00,2022-01-30 13:00:00,2022-01-30 15:00:00
,CANAL N HD,2022-01-31, ,13:00:00,15:00:00,2022-01-31 13:00:00,2022-01-31 15:00:00
,CANAL N HD,2022-02-01, ,13:00:00,15:00:00,2022-02-01 13:00:00,2022-02-01 15:00:00
,CANAL N HD,2022-02-02, ,13:00:00,15:00:00,2022-02-02 13:00:00,2022-02-02 15:00:00
,CANAL N HD,2022-02-03, ,13:00:00,15:00:00,2022-02-03 13:00:00,2022-02-03 15:00:00
13:30 a 15:00,AMERICA TELEVISION HD,2022-01-28, ,13:30:00,15:00:00,2022-01-28 13:30:00,2022-01-28 15:00:00
,AMERICA TELEVISION HD,2022-01-29, ,13:30:00,15:00:00,2022-01-29 13:30:00,2022-01-29 15:00:00
,AMERICA TELEVISION HD,2022-01-30, ,13:30:00,15:00:00,2022-01-30 13:30:00,2022-01-30 15:00:00
,AMERICA TELEVISION HD,2022-01-31, ,13:30:00,15:00:00,2022-01-31 13:30:00,2022-01-31 15:00:00
,AMERICA TELEVISION HD,2022-02-01, ,13:30:00,15:00:00,2022-02-01 13:30:00,2022-02-01 15:00:00
,AMERICA TELEVISION HD,2022-02-02, ,13:30:00,15:00:00,2022-02-02 13:30:00,2022-02-02 15:00:00
,AMERICA TELEVISION HD,2022-02-03, ,13:30:00,15:00:00,2022-02-03 13:30:00,2022-02-03 15:00:00
14:00 a 15:00,WILLAX,2022-01-28, ,14:00:00,15:00:00,2022-01-28 14:00:00,2022-01-28 15:00:00
,WILLAX,2022-01-29, ,14:00:00,15:00:00,2022-01-29 14:00:00,2022-01-29 15:00:00
,WILLAX,2022-01-30, ,14:00:00,15:00:00,2022-01-30 14:00:00,2022-01-30 15:00:00
,WILLAX,2022-01-31, ,14:00:00,15:00:00,2022-01-31 14:00:00,2022-01-31 15:00:00
,WILLAX,2022-02-01, ,14:00:00,15:00:00,2022-02-01 14:00:00,2022-02-01 15:00:00
,WILLAX,2022-02-02, ,14:00:00,15:00:00,2022-02-02 14:00:00,2022-02-02 15:00:00
,WILLAX,2022-02-03, ,14:00:00,15:00:00,2022-02-03 14:00:00,2022-02-03 15:00:00
17:00 a 18:50,AMERICA TELEVISION HD,2022-01-28, ,17:00:00,18:50:00,2022-01-28 17:00:00,2022-01-28 18:50:00
,AMERICA TELEVISION HD,2022-01-29, ,17:00:00,18:50:00,2022-01-29 17:00:00,2022-01-29 18:50:00
,AMERICA TELEVISION HD,2022-01-30, ,17:00:00,18:50:00,2022-01-30 17:00:00,2022-01-30 18:50:00
,AMERICA TELEVISION HD,2022-01-31, ,17:00:00,18:50:00,2022-01-31 17:00:00,2022-01-31 18:50:00
,AMERICA TELEVISION HD,2022-02-01, ,17:00:00,18:50:00,2022-02-01 17:00:00,2022-02-01 18:50:00
,AMERICA TELEVISION HD,2022-02-02, ,17:00:00,18:50:00,2022-02-02 17:00:00,2022-02-02 18:50:00
,AMERICA TELEVISION HD,2022-02-03, ,17:00:00,18:50:00,2022-02-03 17:00:00,2022-02-03 18:50:00
18:50 a 20:30,AMERICA TELEVISION HD,2022-01-28, ,18:50:00,20:30:00,2022-01-28 18:50:00,2022-01-28 20:30:00
,AMERICA TELEVISION HD,2022-01-29, ,18:50:00,20:30:00,2022-01-29 18:50:00,2022-01-29 20:30:00
,AMERICA TELEVISION HD,2022-01-30, ,18:50:00,20:30:00,2022-01-30 18:50:00,2022-01-30 20:30:00
,AMERICA TELEVISION HD,2022-01-31, ,18:50:00,20:30:00,2022-01-31 18:50:00,2022-01-31 20:30:00
,AMERICA TELEVISION HD,2022-02-01, ,18:50:00,20:30:00,2022-02-01 18:50:00,2022-02-01 20:30:00
,AMERICA TELEVISION HD,2022-02-02, ,18:50:00,20:30:00,2022-02-02 18:50:00,2022-02-02 20:30:00
,AMERICA TELEVISION HD,2022-02-03, ,18:50:00,20:30:00,2022-02-03 18:50:00,2022-02-03 20:30:00
19:00 a 22:00,M DEPORTES HD,2022-01-28, ,19:00:00,22:00:00,2022-01-28 19:00:00,2022-01-28 22:00:00
,M DEPORTES HD,2022-01-29, ,19:00:00,22:00:00,2022-01-29 19:00:00,2022-01-29 22:00:00
,M DEPORTES HD,2022-01-30, ,19:00:00,22:00:00,2022-01-30 19:00:00,2022-01-30 22:00:00
,M DEPORTES HD,2022-01-31, ,19:00:00,22:00:00,2022-01-31 19:00:00,2022-01-31 22:00:00
,M DEPORTES HD,2022-02-01, ,19:00:00,22:00:00,2022-02-01 19:00:00,2022-02-01 22:00:00
,M DEPORTES HD,2022-02-02, ,19:00:00,22:00:00,2022-02-02 19:00:00,2022-02-02 22:00:00
,M DEPORTES HD,2022-02-03, ,19:00:00,22:00:00,2022-02-03 19:00:00,2022-02-03 22:00:00
19:00 a 20:45,ATV HD,2022-01-28, ,19:00:00,20:45:00,2022-01-28 19:00:00,2022-01-28 20:45:00
,ATV HD,2022-01-29, ,19:00:00,20:45:00,2022-01-29 19:00:00,2022-01-29 20:45:00
,ATV HD,2022-01-30, ,19:00:00,20:45:00,2022-01-30 19:00:00,2022-01-30 20:45:00
,ATV HD,2022-01-31, ,19:00:00,20:45:00,2022-01-31 19:00:00,2022-01-31 20:45:00
,ATV HD,2022-02-01, ,19:00:00,20:45:00,2022-02-01 19:00:00,2022-02-01 20:45:00
,ATV HD,2022-02-02, ,19:00:00,20:45:00,2022-02-02 19:00:00,2022-02-02 20:45:00
,ATV HD,2022-02-03, ,19:00:00,20:45:00,2022-02-03 19:00:00,2022-02-03 20:45:00
20:30 a 23:00,LATINA HD,2022-01-28, ,20:30:00,23:00:00,2022-01-28 20:30:00,2022-01-28 23:00:00
,LATINA HD,2022-01-29, ,20:30:00,23:00:00,2022-01-29 20:30:00,2022-01-29 23:00:00
,LATINA HD,2022-01-30, ,20:30:00,23:00:00,2022-01-30 20:30:00,2022-01-30 23:00:00
,LATINA HD,2022-01-31, ,20:30:00,23:00:00,2022-01-31 20:30:00,2022-01-31 23:00:00
,LATINA HD,2022-02-01, ,20:30:00,23:00:00,2022-02-01 20:30:00,2022-02-01 23:00:00
,LATINA HD,2022-02-02, ,20:30:00,23:00:00,2022-02-02 20:30:00,2022-02-02 23:00:00
,LATINA HD,2022-02-03, ,20:30:00,23:00:00,2022-02-03 20:30:00,2022-02-03 23:00:00
20:30 a 23:00,AMERICA TELEVISION HD,2022-01-28, ,20:30:00,23:00:00,2022-01-28 20:30:00,2022-01-28 23:00:00
,AMERICA TELEVISION HD,2022-01-29, ,20:30:00,23:00:00,2022-01-29 20:30:00,2022-01-29 23:00:00
,AMERICA TELEVISION HD,2022-01-30, ,20:30:00,23:00:00,2022-01-30 20:30:00,2022-01-30 23:00:00
,AMERICA TELEVISION HD,2022-01-31, ,20:30:00,23:00:00,2022-01-31 20:30:00,2022-01-31 23:00:00
,AMERICA TELEVISION HD,2022-02-01, ,20:30:00,23:00:00,2022-02-01 20:30:00,2022-02-01 23:00:00
,AMERICA TELEVISION HD,2022-02-02, ,20:30:00,23:00:00,2022-02-02 20:30:00,2022-02-02 23:00:00
,AMERICA TELEVISION HD,2022-02-03, ,20:30:00,23:00:00,2022-02-03 20:30:00,2022-02-03 23:00:00
20:45 a 21:45,ATV HD,2022-01-28, ,20:45:00,21:45:00,2022-01-28 20:45:00,2022-01-28 21:45:00
,ATV HD,2022-01-29, ,20:45:00,21:45:00,2022-01-29 20:45:00,2022-01-29 21:45:00
,ATV HD,2022-01-30, ,20:45:00,21:45:00,2022-01-30 20:45:00,2022-01-30 21:45:00
,ATV HD,2022-01-31, ,20:45:00,21:45:00,2022-01-31 20:45:00,2022-01-31 21:45:00
,ATV HD,2022-02-01, ,20:45:00,21:45:00,2022-02-01 20:45:00,2022-02-01 21:45:00
,ATV HD,2022-02-02, ,20:45:00,21:45:00,2022-02-02 20:45:00,2022-02-02 21:45:00
,ATV HD,2022-02-03, ,20:45:00,21:45:00,2022-02-03 20:45:00,2022-02-03 21:45:00
21:45 a 23:00,ATV HD,2022-01-28, ,21:45:00,23:00:00,2022-01-28 21:45:00,2022-01-28 23:00:00
,ATV HD,2022-01-29, ,21:45:00,23:00:00,2022-01-29 21:45:00,2022-01-29 23:00:00
,ATV HD,2022-01-30, ,21:45:00,23:00:00,2022-01-30 21:45:00,2022-01-30 23:00:00
,ATV HD,2022-01-31, ,21:45:00,23:00:00,2022-01-31 21:45:00,2022-01-31 23:00:00
,ATV HD,2022-02-01, ,21:45:00,23:00:00,2022-02-01 21:45:00,2022-02-01 23:00:00
,ATV HD,2022-02-02, ,21:45:00,23:00:00,2022-02-02 21:45:00,2022-02-02 23:00:00
,ATV HD,2022-02-03, ,21:45:00,23:00:00,2022-02-03 21:45:00,2022-02-03 23:00:00
22:00 a 23:00,M DEPORTES HD,2022-01-28, ,22:00:00,23:00:00,2022-01-28 22:00:00,2022-01-28 23:00:00
,M DEPORTES HD,2022-01-29, ,22:00:00,23:00:00,2022-01-29 22:00:00,2022-01-29 23:00:00
,M DEPORTES HD,2022-01-30, ,22:00:00,23:00:00,2022-01-30 22:00:00,2022-01-30 23:00:00
,M DEPORTES HD,2022-01-31, ,22:00:00,23:00:00,2022-01-31 22:00:00,2022-01-31 23:00:00
,M DEPORTES HD,2022-02-01, ,22:00:00,23:00:00,2022-02-01 22:00:00,2022-02-01 23:00:00
,M DEPORTES HD,2022-02-02, ,22:00:00,23:00:00,2022-02-02 22:00:00,2022-02-02 23:00:00
,M DEPORTES HD,2022-02-03, ,22:00:00,23:00:00,2022-02-03 22:00:00,2022-02-03 23:00:00
América Cinescape 11 am,AMERICA TELEVISION HD,2022-01-29, ,11:00:00,13:00:00,2022-01-29 11:00:00,2022-01-29 13:00:00
América El reventonazo de la Chola 7 pm,AMERICA TELEVISION HD,2022-01-29, ,19:00:00,23:00:00,2022-01-29 19:00:00,2022-01-29 23:00:00
ATV JB en ATV 8:00 p.m.,ATV HD,2022-01-29, ,20:00:00,22:00:00,2022-01-29 20:00:00,2022-01-29 22:00:00
América Reinas del Show 9:00 p.m.,AMERICA TELEVISION HD,2022-01-29, ,21:00:00,23:00:00,2022-01-29 21:00:00,2022-01-29 23:00:00
Latina HD La Voz Senior 8:30pm,LATINA HD,2022-01-29, ,20:30:00,22:30:00,2022-01-29 20:30:00,2022-01-29 22:30:00
América TV Mi mamá cocina mejor que la tuya5:30 p.m.,AMERICA TELEVISION HD,2022-01-30, ,17:30:00,19:30:00,2022-01-30 17:30:00,2022-01-30 19:30:00
Mdeportes El fuera de Lista 8:30 p.m.,M DEPORTES HD,2022-01-30, ,20:30:00,22:30:00,2022-01-30 20:30:00,2022-01-30 22:30:00
ATV Nunca Más 8:30 p.m.,ATV HD,2022-01-30, ,20:30:00,22:30:00,2022-01-30 20:30:00,2022-01-30 22:30:00
Mplus Jamás Perfectas 9:00 p.m.,M PLUS HD,2022-01-30, ,21:00:00,23:00:00,2022-01-30 21:00:00,2022-01-30 23:00:00
Mdeportes Después de Todo 10:00 p.m.,M DEPORTES HD,2022-01-30, ,22:00:00,23:59:59,2022-01-30 22:00:00,2022-01-30 23:59:59
