canal,suscribers,hours
LATINA HD 2023-05-08 20:00:00,16454.0,10188.916666666666
LATINA HD 2023-05-09 20:00:00,15324.0,10187.1
LATINA HD 2023-05-10 20:00:00,15220.0,11132.65
LATINA HD 2023-05-11 20:00:00,16351.0,10132.533333333333
LATINA HD 2023-05-12 20:00:00,13656.0,9644.433333333332
LATINA HD 2023-05-13 20:00:00,11464.0,4563.45
LATINA HD 2023-05-14 20:00:00,14623.0,7698.116666666667
LATINA HD 2023-05-15 20:00:00,16812.0,10529.766666666666
LATINA HD 2023-05-16 20:00:00,16459.0,11658.55
LATINA HD 2023-05-17 20:00:00,16300.0,11303.583333333334
LATINA HD 2023-05-18 20:00:00,16635.0,11975.05
LATINA HD 2023-05-19 20:00:00,18787.0,10414.25
LATINA HD 2023-05-20 20:00:00,11647.0,4401.783333333334
LATINA HD 2023-05-21 20:00:00,17762.0,8193.316666666668
LATINA HD 2023-05-13 22:30:00,10536.0,7501.133333333333
AMERICA TELEVISION HD 2023-05-13 22:30:00,10455.0,4079.8333333333335
LATINA HD 2023-05-20 22:30:00,10233.0,7937.966666666666
AMERICA TELEVISION HD 2023-05-20 22:30:00,9280.0,3386.233333333333
