canal,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May
Latina Noticias 05:00 a 09:00,13703,17317,17002,17608,16729,,,19116,17318,16761,16517,15718,,
America Noticias 05:00 a 09:30,22717,30603,30437,30276,29527,,,30655,29883,28897,29005,27296,,
Amor y Fuego 13:50 a 16:10,6792,10310,10351,9764,9656,,,10155,12364,10200,9416,8375,,
Esto es Guerra 19:00 a 20:40,24935,28475,31345,28404,24291,,,26754,25523,25667,26709,22262,,
Yo soy 20:30 a 22:00,13236,16428,16784,19146,13582,,,15623,14882,14750,15058,13358,,
Maricucha 21:30 a 22:30,15003,19802,20901,17816,15277,,,17009,16063,16423,17054,14566,,
Magaly TV 21:45 a 23:00,19131,24877,18952,19052,17619,,,18514,17766,17639,18006,15344,,
Al Angulo 22:00 a 23:30,5335,7228,6447,8086,4325,,,5069,4948,4539,7341,4347,,
Al fondo hay sitio 20:40 a 21:30,25530,32094,34348,34683,28429,,,30638,29830,29365,29083,26037,,
Total,146382,187134,186567,184835,159435,,,173533,168577,164241,168189,147303,0,0
