Canal,Torneo,Partido,Notificado,Fecha,Usuarios Únicos,Horas Consumidas,Plays,Permanencia,Clicks / Usuario
ESPN HD,Premier #34-SOEN 16450,Leicester City vs. Everton,,2023-05-01 14:00:00,"3,763","1,557.40","7,830",2.42,2.08
ESPN EXTRA HD,Brasileirao #3-SOBC 1910,Vasco vs. Bahia,,2023-05-01 18:00:00,"1,212",354.95,"1,829",3.41,1.51
ESPN HD,Premier #34-SOEN 16445,Arsenal vs. Chelsea,,2023-05-02 14:00:00,"15,483","9,821.80","42,178",1.58,2.72
ESPN HD,Libertadores #3 SOIL1432,Ñublense (CHI) vs. Aucas (ECU),,2023-05-02 17:00:00,"9,291","3,616.23","18,826",2.57,2.03
ESPN HD,Libertadores #3 SOIL1434,Atlético Nacional (COL) vs. Olimpia (PAR),,2023-05-02 19:00:00,"28,995","21,110.82","62,436",1.37,2.15
ESPN HD,Libertadores #3 SOIL1436,Sporting Cristal (PER) vs. The Strongest (BOL),,2023-05-02 21:00:00,"53,143","48,078.93","151,842",1.11,2.86
ESPN 2,Serie A #33-SOIM 15074,Udinese vs. Napoli,,2023-05-02 13:45:00,"6,073","1,411.22","11,341",4.30,1.87
ESPN 2,Libertadores #3 SOIL1435,Corinthians (BRA) vs. Ind. Del Valle (ECU),,2023-05-02 19:00:00,"9,275","1,384.40","17,056",6.70,1.84
ESPN 3,LaLiga #33-SOIG 15063,Barcelona vs. Osasuna,,2023-05-02 12:30:00,"4,859",320.12,"8,789",15.18,1.81
ESPN 4,Copa SUD #3 SOSU 534,Huracán ARG vs. Danubio URU,,2023-05-02 17:00:00,"5,519","2,660.60","9,706",2.07,1.76
ESPN 4,Copa SUD #3 SOSU 535,Magallanes CHI vs. Univ. César Vallejo PER,,2023-05-02 19:00:00,"18,145","6,958.52","41,916",2.61,2.31
ESPN HD,Premier #28-SOEN 16390,Manchester City vs. West Ham,,2023-05-03 14:00:00,"16,296","11,471.25","42,401",1.42,2.60
ESPN HD,Libertadores #3 SOIL1437,Internacional (BRA) vs. Nacional (URU),,2023-05-03 17:00:00,"18,089","14,559.15","38,401",1.24,2.12
ESPN HD,Libertadores #3 SOIL1440,Atlético MG (BRA) vs. Alianza Lima (PER),,2023-05-03 19:30:00,"71,928","62,329.82","254,366",1.15,3.54
ESPN 2,Serie A #33-SOIM 15068,Juventus vs. Lecce,,2023-05-03 11:00:00,"2,061","1,353.47","4,105",1.52,1.99
ESPN 2,Serie A #33-SOIM 15067,Hellas Verona vs. Inter,,2023-05-03 14:00:00,"3,057",318.60,"5,387",9.60,1.76
ESPN 2,Libertadores #3 SOIL1438,Cerro Porteño (PAR) vs. Bolivar (BOL),,2023-05-03 17:00:00,"6,675","1,930.95","13,207",3.46,1.98
ESPN 2,Copa SUD #3 SOSU 541,Millonarios COL vs. América MG BRA,,2023-05-03 19:00:00,"9,093",305.37,"14,962",29.78,1.65
ESPN 2,Libertadores #3 SOIL1442,Independiente Medellín COL vs. Metropolitanos (VEN),,2023-05-03 21:00:00,"5,803",764.18,"8,252",7.59,1.42
ESPN 3,Premier #28-SOEN 16389,Liverpool vs. Fulham,,2023-05-03 14:00:00,"4,494","1,603.95","9,715",2.80,2.16
